"","Month","Significant_Counties","Category","Count"
"1",NA,2,"Negative Slope Counties",0
"2",NA,2,"Not Significant",35
"3",NA,2,"Positive Slope Counties",2
"4","January",10,"Negative Slope Counties",0
"5","January",10,"Not Significant",27
"6","January",10,"Positive Slope Counties",10
"7","February",1,"Negative Slope Counties",1
"8","February",1,"Not Significant",36
"9","February",1,"Positive Slope Counties",0
"10","March",0,"Negative Slope Counties",0
"11","March",0,"Not Significant",37
"12","March",0,"Positive Slope Counties",0
"13","April",3,"Negative Slope Counties",2
"14","April",3,"Not Significant",34
"15","April",3,"Positive Slope Counties",1
"16","May",14,"Negative Slope Counties",0
"17","May",14,"Not Significant",23
"18","May",14,"Positive Slope Counties",14
"19","June",8,"Negative Slope Counties",0
"20","June",8,"Not Significant",29
"21","June",8,"Positive Slope Counties",8
"22","July",32,"Negative Slope Counties",0
"23","July",32,"Not Significant",5
"24","July",32,"Positive Slope Counties",32
"25","August",26,"Negative Slope Counties",0
"26","August",26,"Not Significant",11
"27","August",26,"Positive Slope Counties",26
"28","September",17,"Negative Slope Counties",0
"29","September",17,"Not Significant",20
"30","September",17,"Positive Slope Counties",17
"31","October",3,"Negative Slope Counties",0
"32","October",3,"Not Significant",34
"33","October",3,"Positive Slope Counties",3
"34","November",1,"Negative Slope Counties",0
"35","November",1,"Not Significant",36
"36","November",1,"Positive Slope Counties",1
"37","December",0,"Negative Slope Counties",0
"38","December",0,"Not Significant",37
"39","December",0,"Positive Slope Counties",0
